family	order	class	phylum	superkingdom
Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Brevibacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Bryobacteraceae	Bryobacterales	Acidobacteriia	Acidobacteria	Bacteria
Budviciaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Caedimonadaceae	Holosporales	Alphaproteobacteria	Proteobacteria	Bacteria
Caldilineaceae	Caldilineales	Caldilineae	Chloroflexi	Bacteria
Calotrichaceae	Nostocales		Cyanobacteria	Bacteria
Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Candidatus Babeliaceae	Candidatus Babeliales	Candidatus Babeliae		Bacteria
Candidatus Brocadiaceae	Candidatus Brocadiales	Candidatus Brocadiae	Planctomycetes	Bacteria
Candidatus Competibacteraceae		Gammaproteobacteria	Proteobacteria	Bacteria
Candidatus Midichloriaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
Candidatus Paracaedibacteraceae	Holosporales	Alphaproteobacteria	Proteobacteria	Bacteria
Cardiobacteriaceae	Cardiobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Catabacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Cellulomonadaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Chelatococcaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Christensenellaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria
Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria	Bacteria
Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
Chthonomonadaceae	Chthonomonadales	Chthonomonadetes	Armatimonadetes	Bacteria
Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Clostridiales Family XVII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Cohaesibacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Coleofasciculaceae	Oscillatoriales		Cyanobacteria	Bacteria
Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Conexibacteraceae	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria
Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
Crocinitomicaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Cyanothecaceae	Oscillatoriales		Cyanobacteria	Bacteria
Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Deferribacteraceae	Deferribacterales	Deferribacteres	Deferribacteres	Bacteria
Defluviitaleaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Bacteria
Dermabacteraceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Dermatophilaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria
Desulfobacteraceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
Desulfobulbaceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
Desulfohalobiaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
Desulfomicrobiaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
Desulfonatronaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
Desulfuromonadaceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria
Dissulfurirhabdaceae		Deltaproteobacteria	Proteobacteria	Bacteria
Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
Egibacteraceae	Egibacterales	Nitriliruptoria	Actinobacteria	Bacteria
Elusimicrobiaceae	Elusimicrobiales	Elusimicrobia	Elusimicrobia	Bacteria
Emcibacteraceae	Emcibacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Endomicrobiaceae	Endomicrobiales	Endomicrobia	Elusimicrobia	Bacteria
Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Euzebyaceae	Euzebyales	Nitriliruptoria	Actinobacteria	Bacteria
Fibrobacteraceae	Fibrobacterales	Fibrobacteria	Fibrobacteres	Bacteria
Fimbriimonadaceae	Fimbriimonadales	Fimbriimonadia	Armatimonadetes	Bacteria
Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Frankiaceae	Frankiales	Actinobacteria	Actinobacteria	Bacteria
Fulvivirgaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Gaiellaceae	Gaiellales	Rubrobacteria	Actinobacteria	Bacteria
Gallionellaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Geminicoccaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
Gemmatimonadaceae	Gemmatimonadales	Gemmatimonadetes	Gemmatimonadetes	Bacteria
Geobacteraceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria
Geodermatophilaceae	Geodermatophilales	Actinobacteria	Actinobacteria	Bacteria
Gloeobacteraceae	Gloeobacterales	Gloeobacteria	Cyanobacteria	Bacteria
Gomontiellaceae	Oscillatoriales		Cyanobacteria	Bacteria
Granulosicoccaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
Hafniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Hahellaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Halieaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Haliscomenobacteraceae	Saprospirales	Saprospiria	Bacteroidetes	Bacteria
Halobacteriovoraceae	Bacteriovoracales	Oligoflexia	Proteobacteria	Bacteria
Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Hapalosiphonaceae	Nostocales		Cyanobacteria	Bacteria
Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Herpetosiphonaceae	Herpetosiphonales	Chloroflexia	Chloroflexi	Bacteria
Holophagaceae	Holophagales	Holophagae	Acidobacteria	Bacteria
Holosporaceae	Holosporales	Alphaproteobacteria	Proteobacteria	Bacteria
Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Hyphomonadaceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Iamiaceae	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
Idiomarinaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Ignavibacteriaceae	Ignavibacteriales	Ignavibacteria	Ignavibacteriae	Bacteria
Ilumatobacteraceae	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
Intrasporangiaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
Kallotenuaceae	Kallotenuales	Chloroflexia	Chloroflexi	Bacteria
Kiloniellaceae	Kiloniellales	Alphaproteobacteria	Proteobacteria	Bacteria
Kineosporiaceae	Kineosporiales	Actinobacteria	Actinobacteria	Bacteria
Kiritimatiellaceae	Kiritimatiellales	Kiritimatiellae	Kiritimatiellaeota	Bacteria
Kofleriaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Ktedonosporobacteraceae	Ktedonobacterales	Ktedonobacteria	Chloroflexi	Bacteria
Labilitrichaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Lacipirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Leptolyngbyaceae	Synechococcales		Cyanobacteria	Bacteria
Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Lewinellaceae	Saprospirales	Saprospiria	Bacteroidetes	Bacteria
Lichenibacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Lichenihabitantaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Listeriaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Longimicrobiaceae	Longimicrobiales	Longimicrobia	Gemmatimonadetes	Bacteria
Marinilabiliaceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria
Mariprofundaceae	Mariprofundales	Zetaproteobacteria	Proteobacteria	Bacteria
Melioribacteraceae	Ignavibacteriales	Ignavibacteria	Ignavibacteriae	Bacteria
Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
Microcystaceae	Chroococcales		Cyanobacteria	Bacteria
Micromonosporaceae	Micromonosporales	Actinobacteria	Actinobacteria	Bacteria
Micropepsaceae	Micropepsales	Alphaproteobacteria	Proteobacteria	Bacteria
Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Nakamurellaceae	Nakamurellales	Actinobacteria	Actinobacteria	Bacteria
Nannocystaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Nitrosomonadaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Nitrospinaceae	Nitrospinales	Nitrospinia	Nitrospinae	Bacteria
Nitrospiraceae	Nitrospirales	Nitrospira	Nitrospirae	Bacteria
Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Nocardiopsaceae	Streptosporangiales	Actinobacteria	Actinobacteria	Bacteria
Nostocaceae	Nostocales		Cyanobacteria	Bacteria
Notoacmeibacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Oligoflexaceae	Oligoflexales	Oligoflexia	Proteobacteria	Bacteria
Oligosphaeraceae	Oligosphaerales	Oligosphaeria	Lentisphaerae	Bacteria
Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
Oscillochloridaceae	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria
Oscillospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paludibacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Parviterribacteraceae	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
Patulibacteraceae	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
Pectobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Pelagibacteraceae	Pelagibacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Peptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Phaselicystidaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Phycisphaeraceae	Phycisphaerales	Phycisphaerae	Planctomycetes	Bacteria
Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Porticoccaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Prochlorotrichaceae	Synechococcales		Cyanobacteria	Bacteria
Prolixibacteraceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria
Promicromonosporaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Pseudanabaenaceae	Synechococcales		Cyanobacteria	Bacteria
Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Pseudonocardiaceae	Pseudonocardiales	Actinobacteria	Actinobacteria	Bacteria
Puniceicoccaceae	Puniceicoccales	Opitutae	Verrucomicrobia	Bacteria
Pyrinomonadaceae	Blastocatellales	Blastocatellia	Acidobacteria	Bacteria
Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Rhodanobacteraceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Rhodobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Roseiflexaceae	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria
Roseivirgaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Rubrobacteraceae	Rubrobacterales	Rubrobacteria	Actinobacteria	Bacteria
Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Salinisphaeraceae	Salinisphaerales	Gammaproteobacteria	Proteobacteria	Bacteria
Sandaracinaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Scytonemataceae	Nostocales		Cyanobacteria	Bacteria
Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Sinobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
Sneathiellaceae	Sneathiellales	Alphaproteobacteria	Proteobacteria	Bacteria
Solibacteraceae	Bryobacterales	Acidobacteriia	Acidobacteria	Bacteria
Solirubrobacteraceae	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
Sphaerobacteraceae	Sphaerobacterales	Thermomicrobia	Chloroflexi	Bacteria
Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
Spongiibacteraceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Sporichthyaceae	Sporichthyales	Actinobacteria	Actinobacteria	Bacteria
Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Steroidobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Stigonemataceae	Nostocales		Cyanobacteria	Bacteria
Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria
Streptosporangiaceae	Streptosporangiales	Actinobacteria	Actinobacteria	Bacteria
Succinivibrionaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Sulfuricellaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Symphyonemataceae	Nostocales		Cyanobacteria	Bacteria
Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria
Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria
Syntrophaceae	Syntrophobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
Syntrophobacteraceae	Syntrophobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
Syntrophorhabdaceae	Syntrophobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Tepidiformaceae	Tepidiformales	Tepidiformia	Chloroflexi	Bacteria
Tepidisphaeraceae	Tepidisphaerales	Phycisphaerae	Planctomycetes	Bacteria
Terrimicrobiaceae	Terrimicrobiales	Terrimicrobia	Verrucomicrobia	Bacteria
Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Thermoanaerobacteraceae	Thermoanaerobacterales	Clostridia	Firmicutes	Bacteria
Thermoanaerobaculaceae	Thermoanaerobaculales	Thermoanaerobaculia	Acidobacteria	Bacteria
Thermodesulfobacteriaceae	Thermodesulfobacteriales	Thermodesulfobacteria	Thermodesulfobacteria	Bacteria
Thermoguttaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
Thermomonosporaceae	Streptosporangiales	Actinobacteria	Actinobacteria	Bacteria
Thermotogaceae	Thermotogales	Thermotogae	Thermotogae	Bacteria
Thermotomaculaceae	Thermotomaculales	Holophagae	Acidobacteria	Bacteria
Thiobacillaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Tissierellaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Tolypothrichaceae	Nostocales		Cyanobacteria	Bacteria
Trichocoleusaceae	Synechococcales		Cyanobacteria	Bacteria
Trueperaceae	Trueperales	Deinococci	Deinococcus-Thermus	Bacteria
Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Verrucomicrobia subdivision 3	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
Vicinamibacteraceae		Vicinamibacteria	Acidobacteria	Bacteria
Vicingaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Victivallaceae	Victivallales	Lentisphaeria	Lentisphaerae	Bacteria
Vulgatibacteraceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Wenzhouxiangellaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
Woeseiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
Xanthobacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Zoogloeaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
	Vampirovibrionales		Candidatus Melainabacteria	Bacteria
		Actinobacteria	Actinobacteria	Bacteria
		Alphaproteobacteria	Proteobacteria	Bacteria
		Betaproteobacteria	Proteobacteria	Bacteria
		Deltaproteobacteria	Proteobacteria	Bacteria
		Gammaproteobacteria	Proteobacteria	Bacteria
			Candidatus Saccharibacteria	Bacteria
			Planctomycetes	Bacteria
			Verrucomicrobia	Bacteria
				
		Phycisphaerae	Planctomycetes	Bacteria
			Calditrichaeota	Bacteria
			Firmicutes	Bacteria
	Silvanigrellales	Oligoflexia	Proteobacteria	Bacteria
			Candidatus Gracilibacteria	Bacteria
				Bacteria
	Bacillales	Bacilli	Firmicutes	Bacteria
	Clostridiales	Clostridia	Firmicutes	Bacteria
	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
	Bradymonadales	Deltaproteobacteria	Proteobacteria	Bacteria
	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria
		Tissierellia	Firmicutes	Bacteria
	Victivallales	Lentisphaeria	Lentisphaerae	Bacteria
	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
			Tenericutes	Bacteria
